"Adj??" "AdjMS" "Adj?P" "Adv" "AdvGP" "CCoord" "CCoordAdj" "CCoordPrepDe" "CSub" "Det" "Det??" "DetFS" "DetMP" "DetMS" "Elim" "Nom??" "NomFS" "NomInc" "NomM?" "NomMS" "Nom?P" "NomPr" "NomPrXXInc" "NomPrXXPrenom" "Nom?S" "NomXXDate" "Ppa??" "PpaFP" "PpaFS" "PpaMP" "PpaMS" "PpaMSp" "Ppr" "Prep" "PrepDet" "Pro" "ProRel" "Typo" "VCONJP" "VCONJS" "VINF" "AdjFS" "CCoordNom" "CCoordNomPr" "CCoordVCONJP" "CCoordVCONJS" "DetNum" "NomMP" "NomXXMes" "NomXXMon" "TypoCoordNom" "TypoCoordPpa" "TypoCoordPrepDe" "VCONJPp" "CCoordAdv" "CCoordPrep" "CCoordVCONJSp" "NomXXNum" "TypoCoordPrep" "TypoCoordVCONJSp" "VCONJSp" "AdjFP" "AdjM?" "CCoordCSub" "CCoordNomXXDate" "VINFp" "AdjMP" "CCoordDet" "CCoordProRel" "CCoordVINF" "TypoCoordNomPr" "TypoCoordVCONJS" "NomFP" "Adj?S" "CCoordNomXXNum" "TypoCoordAdj" "CCoordPpa" "TypoCoordVINF" "CCoordPrepDet" "TypoCoordPrepDet" "Pprp" "TypoCoordAdv" "NomXXAdr" "TypoCoordVCONJP" "CCoordVCONJPp" "TypoCoordProRel" "TypoCoordNomXXDate" "CCoordPpr" "NomXXHeure" "NomXXUrl" "CCoordVINFp" "TypoCoordNomXXNum" "NomXXMail"
"54" 24 0 1 10 3 2 0 0 2 4 39 2 2 4 0 2 13 1 0 19 13 3 9 5 20 4 0 0 1 2 8 2 1 49 0 11 1 60 5 13 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"55" 146 5 9 162 27 57 9 3 39 7 182 14 13 28 3 17 72 13 0 96 61 46 56 32 148 16 7 3 9 1 42 1 10 284 2 150 35 418 17 136 62 5 12 0 0 6 0 1 0 1 2 0 1 0 1 0 0 3 0 0 1 1 6 0 1 1 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" 15 1 3 4 8 3 0 1 1 3 27 0 2 5 1 1 5 0 0 21 15 9 12 2 14 8 1 0 1 2 4 0 0 48 2 14 2 50 1 15 3 0 2 0 0 1 0 0 0 0 1 0 0 0 0 2 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"57" 18 0 3 8 3 3 1 1 1 2 28 1 0 0 1 1 9 0 0 14 15 8 16 0 23 8 0 0 1 0 4 1 1 47 0 5 2 50 0 14 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"58" 90 0 7 86 12 19 3 3 16 10 127 7 6 13 0 5 55 7 0 69 54 10 49 25 66 15 2 6 4 2 28 1 8 212 3 79 19 212 4 81 34 0 1 0 0 3 1 0 0 0 0 0 0 1 0 1 0 3 0 0 2 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"59" 26 1 0 18 5 5 3 2 6 2 52 2 1 10 0 1 18 1 0 30 11 4 7 10 25 3 0 0 1 0 5 0 2 72 0 18 4 41 1 21 11 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" 58 3 6 39 8 12 4 3 14 8 86 7 9 17 2 2 34 3 0 29 52 10 48 8 51 16 1 1 4 6 40 6 7 182 0 75 11 140 21 50 26 0 2 2 1 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"61" 141 10 9 151 22 20 4 3 38 16 233 29 20 39 2 8 86 14 0 124 98 24 108 61 130 33 7 5 9 4 69 2 7 405 3 159 43 410 22 149 71 1 6 2 0 1 1 1 0 0 0 0 0 0 1 0 0 5 0 0 2 0 3 1 0 2 1 0 2 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"62" 84 3 9 97 15 17 1 3 18 9 150 7 8 13 0 6 50 27 0 65 72 15 75 40 88 16 1 5 1 4 43 1 8 249 7 118 27 269 12 105 39 0 5 4 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"63" 6 0 1 8 0 2 0 0 1 1 9 1 1 1 0 1 4 0 0 2 4 9 7 2 11 3 0 0 1 1 1 1 0 23 0 7 2 21 1 8 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
