"year" "section" "section.orig" "genre" "author" "years.group"
"19901207N2-006-01" "1990" "INT-ETR" "ETR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 1
"19901211N2-006-61" "1990" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19901217N2-004-11" "1990" "INT-ETR" "ETR" "NECROLOGIE" "ROSENZWEIG LUC" 1
"19910101N2-004-06" "1991" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19910110N2-003-03" "1991" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 1
"19910118N2-007-03" "1991" "INT-ETR" "ETR" "PORTRAIT" "ISNARD JACQUES" 1
"19910125N2-006-06" "1991" "INT-ETR" "ETR" "PORTRAIT" "ISNARD JACQUES" 1
"19910126N2-007-03" "1991" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 1
"19910131N2-009-01" "1991" "POL-FRA" "POL" "PORTRAIT" "ISNARD JACQUES" 1
"19910211N2-001-64" "1991" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 1
"19910301N2-015-05" "1991" "ART" "ART" "BIOGRAPHIE" "DUMAY JEAN MICHEL" 1
"19910325N2-001-01" "1991" "POL-FRA" "POL" "ENTRETIEN" "ROLLAT ALAIN" 1
"19910406N2-024-01" "1991" "ECO-ENT" "ECO" "BIOGRAPHIE" "ISNARD JACQUES" 1
"19910417N2-004-01" "1991" "INT-ETR" "ETR" "ENTRETIEN" "KAUFFMANN SYLVIE" 1
"19910423N2-019-03" "1991" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19910509N2-002-05" "1991" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 1
"19910518N2-010-03" "1991" "INT-ETR" "ETR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 1
"19910518N2-006-06" "1991" "POL-FRA" "POL" "PORTRAIT" "GROSRICHARD FRANCOIS" 1
"19910518N2-006-04" "1991" "POL-FRA" "POL" "PORTRAIT" "GROSRICHARD FRANCOIS" 1
"19910529N2-008-03" "1991" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 1
"19910530N2-004-63" "1991" "INT-ETR" "ETR" "PORTRAIT" "ROSENZWEIG LUC" 1
"19910610N2-010-01" "1991" "POL-FRA" "POL" "NECROLOGIE" "ROLLAT ALAIN" 1
"19910611N2-005-62" "1991" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 1
"19910726N2-008-04" "1991" "ART" "ART" "PORTRAIT" "CONDE GERARD" 1
"19910805N2-011-08" "1991" "ECO-ENT" "ECO" "NECROLOGIE" "GROSRICHARD FRANCOIS" 1
"19910824N2-004-01" "1991" "INT-ETR" "ETR" "BIOGRAPHIE" "KAUFFMANN SYLVIE" 1
"19910830N2-003-02" "1991" "INT-ETR" "ETR" "PORTRAIT" "LABE YVES MARIE" 1
"19910921N2-008-01" "1991" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 1
"19910930N2-004-02" "1991" "INT-ETR" "ETR" "NECROLOGIE" "KAUFFMANN SYLVIE" 1
"19911004N2-006-31" "1991" "INT-ETR" "ETR" "NECROLOGIE" "TINCQ HENRI" 1
"19911126N2-035-01" "1991" "ART" "ART" "PORTRAIT" "GEORGES PIERRE" 1
"19911206N2-005-63" "1991" "INT-ETR" "ETR" "BIOGRAPHIE" "KAUFFMANN SYLVIE" 1
"19911226N2-018-71" "1991" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 1
"19920116N2-003-66" "1992" "INT-ETR" "ETR" "PORTRAIT" "TINCQ HENRI" 2
"19920122N2-008-01" "1992" "POL-FRA" "POL" "ENTRETIEN" "ROLLAT ALAIN" 2
"19920207N2-021-01" "1992" "ART" "ART" "PORTRAIT" "GEORGES PIERRE" 2
"19920211N2-034-61" "1992" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19920224N2-006-03" "1992" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 2
"19920229N2-008-04" "1992" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 2
"19920325N2-005-05" "1992" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19920327N2-018-03" "1992" "ECO-ENT" "ECO" "NECROLOGIE" "LABE YVES MARIE" 2
"19920403N2-006-01" "1992" "INT-ETR" "ETR" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19920404N2-005-05" "1992" "POL-FRA" "POL" "PORTRAIT" "COURTOIS GERARD" 2
"19920407N2-015-03" "1992" "POL-FRA" "POL" "PORTRAIT" "DUMAY JEAN MICHEL" 2
"19920407N2-015-01" "1992" "POL-FRA" "POL" "PORTRAIT" "GROSRICHARD FRANCOIS" 2
"19920411N2-003-01" "1992" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19920425N2-012-03" "1992" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19920428N2-001-65" "1992" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19920428N2-003-62" "1992" "INT-ETR" "ETR" "PORTRAIT" "ROSENZWEIG LUC" 2
"19920526N2-003-03" "1992" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19920527N2-004-02" "1992" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19920601N2-004-01" "1992" "INT-ETR" "ETR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 2
"19920608N2-003-62" "1992" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19920610N2-003-62" "1992" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19920627N2-015-05" "1992" "ART" "ART" "BIOGRAPHIE" "KECHICHIAN PATRICK" 2
"19920630N2-019-06" "1992" "ECO-ENT" "ECO" "BIOGRAPHIE" "ISNARD JACQUES" 2
"19920709N2-019-32" "1992" "ECO-ENT" "ECO" "BIOGRAPHIE" "ISNARD JACQUES" 2
"19920729N2-012-02" "1992" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19920815N2-001-65" "1992" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19920815N2-005-63" "1992" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19920829N2-009-04" "1992" "ART" "ART" "NECROLOGIE" "LABE YVES MARIE" 2
"19921005N2-007-31" "1992" "POL-FRA" "POL" "PORTRAIT" "GROSRICHARD FRANCOIS" 2
"19921016N2-010-01" "1992" "POL-FRA" "POL" "PORTRAIT" "ROLLAT ALAIN" 2
"19921021N2-004-64" "1992" "INT-ETR" "ETR" "NECROLOGIE" "ROSENZWEIG LUC" 2
"19921105N2-009-02" "1992" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19921222N2-017-02" "1992" "ECO-ENT" "ECO" "NECROLOGIE" "LABE YVES MARIE" 2
"19921225N2-015-01" "1992" "ECO-ENT" "ECO" "NECROLOGIE" "LABE YVES MARIE" 2
"19921225N2-022-01" "1992" "ART" "ART" "NECROLOGIE" "LABE YVES MARIE" 2
"19930111N2-004-63" "1993" "INT-ETR" "ETR" "BIOGRAPHIE" "ROSENZWEIG LUC" 2
"19930115N2-019-01" "1993" "ECO-ENT" "ECO" "PORTRAIT" "LABE YVES MARIE" 2
"19930115N2-007-63" "1993" "INT-ETR" "ETR" "NECROLOGIE" "KAUFFMANN SYLVIE" 2
"19930118N2-004-61" "1993" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19930126N2-022-62" "1993" "INT-ETR" "ETR" "NECROLOGIE" "DHOMBRES DOMINIQUE" 2
"19930126N2-017-33" "1993" "ECO-ENT" "ECO" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 2
"19930215N2-004-01" "1993" "INT-ETR" "ETR" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 2
"19930215N2-004-02" "1993" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19930303N2-024-61" "1993" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19930311N2-009-04" "1993" "POL-FRA" "POL" "PORTRAIT" "ISNARD JACQUES" 2
"19930316N2-003-03" "1993" "INT-ETR" "ETR" "PORTRAIT" "ISNARD JACQUES" 2
"19930401N2-005-07" "1993" "POL-FRA" "POL" "BIOGRAPHIE" "ISNARD JACQUES" 2
"19930427N2-026-61" "1993" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19930428N2-001-61" "1993" "INT-ETR" "ETR" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 2
"19930529N2-018-09" "1993" "ECO-ENT" "ECO" "PORTRAIT" "GROSRICHARD FRANCOIS" 2
"19930531N2-003-63" "1993" "INT-ETR" "ETR" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 2
"19930702N2-005-62" "1993" "INT-ETR" "ETR" "BIOGRAPHIE" "KAUFFMANN SYLVIE" 2
"19930803N2-011-01" "1993" "ART" "ART" "PORTRAIT" "CONDE GERARD" 2
"19930903N2-015-31" "1993" "ECO-ENT" "ECO" "BIOGRAPHIE" "GROSRICHARD FRANCOIS" 2
"19930907N2-008-69" "1993" "INT-ETR" "ETR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 2
"19930914N2-024-31" "1993" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 2
"19930918N2-006-62" "1993" "INT-ETR" "ETR" "NECROLOGIE" "DECAMPS MARIE CLAUDE" 2
"19930922N2-003-67" "1993" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19930923N2-003-03" "1993" "INT-ETR" "ETR" "PORTRAIT" "KAUFFMANN SYLVIE" 2
"19931002N2-004-64" "1993" "INT-ETR" "ETR" "PORTRAIT" "ROSENZWEIG LUC" 2
"19931027N2-003-03" "1993" "INT-ETR" "ETR" "PORTRAIT" "DHOMBRES DOMINIQUE" 2
"19931104N2-001-62" "1993" "INT-ETR" "ETR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 2
"19931122N2-004-61" "1993" "INT-ETR" "ETR" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 2
"19931126N2-022-01" "1993" "ECO-ENT" "ECO" "NECROLOGIE" "ISNARD JACQUES" 2
"19940104N2-004-62" "1994" "INT-ETR" "ETR" "PORTRAIT" "ISNARD JACQUES" 2
"19940127N2-004-02" "1994" "INT-ETR" "ETR" "PORTRAIT" "ISNARD JACQUES" 2
"19940216N2-003-68" "1994" "INT-ETR" "ETR" "BIOGRAPHIE" "ROSENZWEIG LUC" 2
