"year" "section" "section.orig" "genre" "author" "years.group"
"19980707N2-014-61" "1998" "HOR" "HOR" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"19980707N2-014-63" "1998" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19980708N2-S04-02" "1998" "SPO" "SPO" "ENTRETIEN" "TINCQ HENRI" 3
"19980710N2-012-61" "1998" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19980714N2-009-03" "1998" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19980721N2-016-04" "1998" "SPO" "SPO" "PORTRAIT" "ROSENZWEIG LUC" 3
"19980725N2-022-03" "1998" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"19980803N2-008-01" "1998" "HOR" "HOR" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"19980804N2-019-08" "1998" "ART" "ART" "ENTRETIEN" "CATINCHI PHILIPPE JEAN" 3
"19980805N2-020-01" "1998" "ART" "ART" "NECROLOGIE" "CONDE GERARD" 3
"19980813N2-004-01" "1998" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"19980815N2-014-02" "1998" "SPO" "SPO" "ENTRETIEN" "NAU JEAN YVES" 3
"19980819N2-017-02" "1998" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"19980822N2-014-01" "1998" "SPO" "SPO" "ENTRETIEN" "NAU JEAN YVES" 3
"19980824N2-009-02" "1998" "HOR" "HOR" "NECROLOGIE" "LABE YVES MARIE" 3
"19980825N2-006-01" "1998" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"19980902N2-023-01" "1998" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19980903N2-003-04" "1998" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"19980905N2-007-03" "1998" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19980905N2-010-61" "1998" "HOR" "HOR" "NECROLOGIE" "NAU JEAN YVES" 3
"19980915N2-010-01" "1998" "HOR" "HOR" "NECROLOGIE" "DHOMBRES DOMINIQUE" 3
"19980915N2-015-03" "1998" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19980918N2-013-31" "1998" "HOR" "HOR" "PORTRAIT" "DUMAY JEAN MICHEL" 3
"19980919N2-010-03" "1998" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19980919N2-010-02" "1998" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19980922N2-020-63" "1998" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19980924N2-009-02" "1998" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19980924N2-015-01" "1998" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19981006N2-012-61" "1998" "HOR" "HOR" "NECROLOGIE" "ISNARD JACQUES" 3
"19981006N2-028-07" "1998" "ART" "ART" "PORTRAIT" "LABE YVES MARIE" 3
"19981010N2-030-01" "1998" "ART" "ART" "PORTRAIT" "KECHICHIAN PATRICK" 3
"19981010N2-025-01" "1998" "HOR" "HOR" "NECROLOGIE" "LABE YVES MARIE" 3
"19981021N2-008-05" "1998" "POL-FRA" "FRA" "PORTRAIT" "GROSRICHARD FRANCOIS" 3
"19981024N2-004-03" "1998" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19981026N2-022-03" "1998" "HOR" "HOR" "NECROLOGIE" "CATINCHI PHILIPPE JEAN" 3
"19981031N2-004-04" "1998" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"19981103N2-014-01" "1998" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19981111N2-006-04" "1998" "POL-FRA" "FRA" "ENTRETIEN" "LABE YVES MARIE" 3
"19981111N2-006-06" "1998" "POL-FRA" "FRA" "ENTRETIEN" "LABE YVES MARIE" 3
"19981121N2-015-01" "1998" "HOR" "HOR" "PORTRAIT" "ROSENZWEIG LUC" 3
"19981124N2-017-61" "1998" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19981124N2-017-63" "1998" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19981210N2-015-31" "1998" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19990105N2-014-61" "1999" "HOR" "HOR" "ENTRETIEN" "NAU JEAN YVES" 3
"19990125N2-007-02" "1999" "POL-FRA" "FRA" "ENTRETIEN" "COURTOIS GERARD" 3
"19990126N2-032-01" "1999" "ART" "ART" "PORTRAIT" "LABE YVES MARIE" 3
"19990126N2-005-03" "1999" "POL-FRA" "FRA" "ENTRETIEN" "COURTOIS GERARD" 3
"19990204N2-015-02" "1999" "HOR" "HOR" "OPINION" "ISNARD JACQUES" 3
"19990212N2-010-33" "1999" "POL-FRA" "FRA" "PORTRAIT" "DUMAY JEAN MICHEL" 3
"19990215N2-016-03" "1999" "ECO-ENT" "ENT" "BIOGRAPHIE" "DECAMPS MARIE CLAUDE" 3
"19990215N2-013-02" "1999" "HOR" "HOR" "ENTRETIEN" "GROSRICHARD FRANCOIS" 3
"19990216N2-016-01" "1999" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19990216N2-016-03" "1999" "HOR" "HOR" "BIOGRAPHIE" "DHOMBRES DOMINIQUE" 3
"19990302N2-012-33" "1999" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19990302N2-012-31" "1999" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19990305N2-004-01" "1999" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19990305N2-004-02" "1999" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19990317N2-008-04" "1999" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 3
"19990317N2-023-01" "1999" "ECO-ENT" "ENT" "ENTRETIEN" "ISNARD JACQUES" 3
"19990323N2-031-02" "1999" "ART" "ART" "NECROLOGIE" "TINCQ HENRI" 3
"19990323N2-031-03" "1999" "ART" "ART" "NECROLOGIE" "TINCQ HENRI" 3
"19990324N2-008-02" "1999" "POL-FRA" "FRA" "PORTRAIT" "TINCQ HENRI" 3
"19990401N2-022-03" "1999" "ECO-ENT" "ENT" "PORTRAIT" "GROSRICHARD FRANCOIS" 3
"19990408N2-003-02" "1999" "INT-ETR" "INT" "PORTRAIT" "ROSENZWEIG LUC" 3
"19990420N2-016-31" "1999" "HOR" "HOR" "ENTRETIEN" "GROSRICHARD FRANCOIS" 3
"19990420N2-016-33" "1999" "HOR" "HOR" "PORTRAIT" "GROSRICHARD FRANCOIS" 3
"19990504N2-032-01" "1999" "ART" "ART" "PORTRAIT" "CONDE GERARD" 3
"19990506N2-015-01" "1999" "HOR" "HOR" "PORTRAIT" "ROSENZWEIG LUC" 3
"19990510N2-025-02" "1999" "ART" "ART" "ENTRETIEN" "KECHICHIAN PATRICK" 3
"19990512N2-011-31" "1999" "POL-FRA" "FRA" "PORTRAIT" "DUMAY JEAN MICHEL" 3
"19990514N2-012-01" "1999" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19990514N2-006-03" "1999" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19990514N2-006-04" "1999" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19990517N2-005-61" "1999" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"19990518N2-016-31" "1999" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19990519N2-018-31" "1999" "ECO-ENT" "ENT" "ENTRETIEN" "NAU JEAN YVES" 3
"19990607N2-004-03" "1999" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"19990610N2-006-04" "1999" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"19990615N2-008-02" "1999" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"19990616N2-008-65" "1999" "INT-ETR" "INT" "PORTRAIT" "ROSENZWEIG LUC" 3
"19990625N2-006-05" "1999" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"19990626N2-006-33" "1999" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"19990705N2-014-36" "1999" "ECO-ENT" "ENT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19990712N2-010-62" "1999" "HOR" "HOR" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19990713N2-014-31" "1999" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"19990714N2-012-31" "1999" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"19990714N2-003-61" "1999" "INT-ETR" "INT" "ENTRETIEN" "ISNARD JACQUES" 3
"19990715N2-010-31" "1999" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"19990717N2-012-31" "1999" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"19990719N2-006-31" "1999" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"19990720N2-012-61" "1999" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19990721N2-010-31" "1999" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"19990722N2-010-31" "1999" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"19990723N2-010-31" "1999" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"19990724N2-012-31" "1999" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"19990724N2-015-34" "1999" "ECO-ENT" "ENT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"19990726N2-020-04" "1999" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"19990802N2-008-32" "1999" "POL-FRA" "FRA" "ENTRETIEN" "NAU JEAN YVES" 3
"19990824N2-006-03" "1999" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19990830N2-006-02" "1999" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"19990906N2-006-04" "1999" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19990908N2-006-04" "1999" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19990917N2-004-64" "1999" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19990921N2-017-31" "1999" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"19990927N2-009-02" "1999" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19990928N2-019-63" "1999" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"19991018N2-004-64" "1999" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"19991019N2-006-70" "1999" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"19991019N2-018-03" "1999" "HOR" "HOR" "PORTRAIT" "ROSENZWEIG LUC" 3
"19991109N2-005-03" "1999" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"19991123N2-003-03" "1999" "INT-ETR" "INT" "ENTRETIEN" "ROSENZWEIG LUC" 3
"19991215N2-008-03" "1999" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"19991225N2-002-05" "1999" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20000101N2-014-01" "2000" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20000106N2-003-04" "2000" "INT-ETR" "INT" "NECROLOGIE" "DECAMPS MARIE CLAUDE" 3
"20000111N2-033-02" "2000" "ART" "ART" "ENTRETIEN" "CATINCHI PHILIPPE JEAN" 3
"20000112N2-003-05" "2000" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20000117N2-025-02" "2000" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"20000125N2-016-61" "2000" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"20000125N2-016-63" "2000" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20000125N2-015-01" "2000" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20000127N2-012-01" "2000" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20000127N2-028-01" "2000" "ART" "ART" "ENTRETIEN" "LABE YVES MARIE" 3
"20000204N2-003-61" "2000" "INT-ETR" "INT" "PORTRAIT" "ROSENZWEIG LUC" 3
"20000218N2-012-03" "2000" "HOR" "HOR" "ENTRETIEN" "NAU JEAN YVES" 3
"20000218N2-012-02" "2000" "HOR" "HOR" "ENTRETIEN" "NAU JEAN YVES" 3
"20000226N2-003-02" "2000" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20000306N2-006-04" "2000" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20000307N2-003-02" "2000" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20000308N2-002-03" "2000" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20000309N2-002-62" "2000" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20000310N2-013-01" "2000" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20000311N2-004-62" "2000" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20000313N2-003-65" "2000" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20000313N2-011-61" "2000" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20000314N2-002-05" "2000" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20000314N2-006-05" "2000" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20000328N2-033-04" "2000" "ART" "ART" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20000406N2-006-04" "2000" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"20000406N2-027-61" "2000" "INT-ETR" "INT" "NECROLOGIE" "TINCQ HENRI" 3
"20000407N2-028-03" "2000" "ART" "ART" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"20000413N2-029-02" "2000" "ART" "ART" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20000420N2-006-06" "2000" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20000421N2-018-31" "2000" "ECO-ENT" "ENT" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"20000425N2-006-03" "2000" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20000502N2-020-62" "2000" "INT-ETR" "INT" "NECROLOGIE" "ISNARD JACQUES" 3
"20000510N2-004-62" "2000" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20000511N2-014-61" "2000" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"20000515N2-004-63" "2000" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"20000518N2-002-63" "2000" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20000525N2-016-31" "2000" "HOR" "HOR" "PORTRAIT" "DUMAY JEAN MICHEL" 3
"20000603N2-006-04" "2000" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20000609N2-017-02" "2000" "ECO-ENT" "ENT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20000614N2-014-01" "2000" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20000707N2-007-02" "2000" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"20000710N2-007-02" "2000" "POL-FRA" "FRA" "BIOGRAPHIE" "ISNARD JACQUES" 3
"20000714N2-006-04" "2000" "POL-FRA" "FRA" "ENTRETIEN" "COURTOIS GERARD" 3
"20000727N2-005-61" "2000" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20000728N2-014-32" "2000" "ECO-ENT" "ENT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20000731N2-018-02" "2000" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"20000801N2-022-02" "2000" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"20000804N2-004-02" "2000" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20000805N2-002-03" "2000" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20000810N2-020-02" "2000" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"20000810N2-003-02" "2000" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20000815N2-020-04" "2000" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"20000830N2-009-31" "2000" "POL-FRA" "FRA" "PORTRAIT" "COURTOIS GERARD" 3
"20000831N2-008-02" "2000" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20000904N2-002-04" "2000" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 3
"20000904N2-002-05" "2000" "INT-ETR" "INT" "PORTRAIT" "TINCQ HENRI" 3
"20000906N2-003-02" "2000" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20000916N2-002-64" "2000" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20000918N2-004-04" "2000" "INT-ETR" "INT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20000922N2-002-04" "2000" "INT-ETR" "INT" "ENTRETIEN" "ISNARD JACQUES" 3
"20000926N2-008-02" "2000" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20000928N2-017-61" "2000" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20001009N2-003-04" "2000" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"20001017N2-004-04" "2000" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20001024N2-022-61" "2000" "HOR" "HOR" "ENTRETIEN" "DHOMBRES DOMINIQUE" 3
"20001024N2-022-63" "2000" "HOR" "HOR" "BIOGRAPHIE" "DHOMBRES DOMINIQUE" 3
"20001026N2-004-62" "2000" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20001101N2-003-04" "2000" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20001108N2-016-61" "2000" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20001110N2-002-63" "2000" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"20001113N2-006-32" "2000" "POL-FRA" "FRA" "ENTRETIEN" "NAU JEAN YVES" 3
"20001116N2-006-33" "2000" "POL-FRA" "FRA" "ENTRETIEN" "GROSRICHARD FRANCOIS" 3
"20001120N2-014-63" "2000" "HOR" "HOR" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20001121N2-002-64" "2000" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20001128N2-031-02" "2000" "SPO" "SPO" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20001201N2-002-04" "2000" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20001209N2-003-04" "2000" "INT-ETR" "INT" "ENTRETIEN" "ISNARD JACQUES" 3
"20001214N2-004-62" "2000" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"20001219N2-002-03" "2000" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20001225N2-012-03" "2000" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"20001226N2-002-05" "2000" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20001227N2-011-01" "2000" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20010103N2-026-01" "2001" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"20010103N2-026-03" "2001" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"20010111N2-002-64" "2001" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20010111N2-029-04" "2001" "ART" "ART" "PORTRAIT" "KECHICHIAN PATRICK" 3
"20010116N2-016-31" "2001" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"20010116N2-016-33" "2001" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20010117N2-030-08" "2001" "ART" "ART" "PORTRAIT" "KECHICHIAN PATRICK" 3
"20010120N2-014-61" "2001" "HOR" "HOR" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20010122N2-014-61" "2001" "HOR" "HOR" "PORTRAIT" "DHOMBRES DOMINIQUE" 3
"20010201N2-015-31" "2001" "HOR" "HOR" "PORTRAIT" "GROSRICHARD FRANCOIS" 3
"20010206N2-035-01" "2001" "ART" "ART" "NECROLOGIE" "CONDE GERARD" 3
"20010206N2-035-03" "2001" "ART" "ART" "NECROLOGIE" "CONDE GERARD" 3
"20010212N2-004-65" "2001" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20010220N2-006-05" "2001" "POL-FRA" "FRA" "ENTRETIEN" "NAU JEAN YVES" 3
"20010222N2-006-03" "2001" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"20010223N2-002-04" "2001" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20010301N2-024-32" "2001" "ECO-ENT" "ENT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20010301N2-002-63" "2001" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20010314N2-009-02" "2001" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20010315N2-016-61" "2001" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20010321N2-004-61" "2001" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"20010324N2-006-64" "2001" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20010328N2-004-05" "2001" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20010414N2-R25-81" "2001" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"20010417N2-011-31" "2001" "HOR" "HOR" "ENTRETIEN" "TINCQ HENRI" 3
"20010417N2-011-33" "2001" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20010430N2-002-03" "2001" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20010502N2-006-05" "2001" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20010505N2-004-63" "2001" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20010511N2-013-01" "2001" "HOR" "HOR" "ENTRETIEN" "COURTOIS GERARD" 3
"20010512N2-002-03" "2001" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20010515N2-008-01" "2001" "POL-FRA" "FRA" "ENTRETIEN" "COURTOIS GERARD" 3
"20010515N2-005-63" "2001" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20010517N2-013-01" "2001" "HOR" "HOR" "PORTRAIT" "CHEMIN ARIANE" 3
"20010518N2-008-01" "2001" "POL-FRA" "FRA" "BIOGRAPHIE" "GROSRICHARD FRANCOIS" 3
"20010521N2-007-07" "2001" "POL-FRA" "FRA" "BIOGRAPHIE" "ISNARD JACQUES" 3
"20010524N2-020-82" "2001" "ECO-ENT" "ENT" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20010525N2-004-02" "2001" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20010526N2-002-63" "2001" "INT-ETR" "INT" "PORTRAIT" "KAUFFMANN SYLVIE" 3
"20010526N2-006-05" "2001" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"20010605N2-013-31" "2001" "HOR" "HOR" "ENTRETIEN" "NAU JEAN YVES" 3
"20010607N2-017-61" "2001" "HOR" "HOR" "PORTRAIT" "DECAMPS MARIE CLAUDE" 3
"20010612N2-002-03" "2001" "INT-ETR" "INT" "ENTRETIEN" "KAUFFMANN SYLVIE" 3
"20010621N2-003-65" "2001" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20010622N2-006-02" "2001" "POL-FRA" "FRA" "PORTRAIT" "CHEMIN ARIANE" 3
"20010625N2-002-04" "2001" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20010714N2-006-02" "2001" "POL-FRA" "FRA" "ENTRETIEN" "ISNARD JACQUES" 3
"20010730N2-007-31" "2001" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20010801N2-030-04" "2001" "ART" "ART" "ENTRETIEN" "CATINCHI PHILIPPE JEAN" 3
"20010801N2-013-31" "2001" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20010801N2-012-31" "2001" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20010802N2-009-31" "2001" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20010803N2-010-31" "2001" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20010814N2-021-01" "2001" "ART" "ART" "NECROLOGIE" "KECHICHIAN PATRICK" 3
"20010817N2-002-65" "2001" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20010822N2-011-06" "2001" "ECO-ENT" "ENT" "ENTRETIEN" "NAU JEAN YVES" 3
"20010905N2-028-06" "2001" "ART" "ART" "PORTRAIT" "CATINCHI PHILIPPE JEAN" 3
"20010906N2-008-01" "2001" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"20010908N2-004-67" "2001" "INT-ETR" "INT" "ENTRETIEN" "DECAMPS MARIE CLAUDE" 3
"20010913N2-021-01" "2001" "POL-FRA" "FRA" "ENTRETIEN" "CHEMIN ARIANE" 3
"20010914N2-016-64" "2001" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20010928N2-004-64" "2001" "INT-ETR" "INT" "ENTRETIEN" "NAU JEAN YVES" 3
"20011008N2-014-31" "2001" "HOR" "HOR" "PORTRAIT" "TINCQ HENRI" 3
"20011015N2-006-66" "2001" "INT-ETR" "INT" "ENTRETIEN" "TINCQ HENRI" 3
"20011016N2-020-61" "2001" "HOR" "HOR" "ENTRETIEN" "NAU JEAN YVES" 3
"20011020N2-010-03" "2001" "POL-FRA" "FRA" "BIOGRAPHIE" "ISNARD JACQUES" 3
"20011020N2-010-04" "2001" "POL-FRA" "FRA" "BIOGRAPHIE" "ISNARD JACQUES" 3
